Year Month AnnAnom
1982 11 0.173
1982 12 0.187
1983 1 0.191
1983 2 0.217
1983 3 0.239
1983 4 0.24
1983 5 0.255
1983 6 0.238
1983 7 0.222
1983 8 0.197
1983 9 0.191
1983 10 0.176
1983 11 0.175
1983 12 0.163
1984 1 0.153
1984 2 0.136
1984 3 0.12
1984 4 0.116
1984 5 0.093
1984 6 0.072
1984 7 0.072
1984 8 0.063
1984 9 0.055
1984 10 0.054
1984 11 0.036
1984 12 0.042
1985 1 0.037
1985 2 0.04
1985 3 0.036
1985 4 0.036
1985 5 0.041
1985 6 0.059
1985 7 0.055
1985 8 0.086
1985 9 0.092
1985 10 0.106
1985 11 0.113
1985 12 0.109
1986 1 0.12
1986 2 0.118
1986 3 0.111
1986 4 0.114
1986 5 0.117
1986 6 0.114
1986 7 0.122
1986 8 0.12
1986 9 0.115
1986 10 0.112
1986 11 0.116
1986 12 0.138
1987 1 0.166
1987 2 0.175
1987 3 0.196
1987 4 0.21
1987 5 0.22
1987 6 0.247
1987 7 0.266
1987 8 0.268
1987 9 0.288
1987 10 0.304
1987 11 0.315
1987 12 0.321
1988 1 0.311
1988 2 0.321
1988 3 0.323
1988 4 0.324
1988 5 0.312
1988 6 0.292
1988 7 0.251
1988 8 0.245
1988 9 0.233
1988 10 0.22
1988 11 0.193
1988 12 0.169
1989 1 0.167
1989 2 0.158
1989 3 0.155
1989 4 0.156
1989 5 0.163
1989 6 0.175
1989 7 0.206
1989 8 0.209
1989 9 0.244
1989 10 0.268
1989 11 0.302
1989 12 0.324
1990 1 0.336
1990 2 0.339
1990 3 0.335
1990 4 0.344
1990 5 0.367
1990 6 0.368
1990 7 0.367
1990 8 0.377
1990 9 0.347
1990 10 0.344
1990 11 0.336
1990 12 0.345
1991 1 0.349
1991 2 0.358
1991 3 0.372
1991 4 0.363
1991 5 0.354
1991 6 0.35
1991 7 0.357
1991 8 0.352
1991 9 0.36
1991 10 0.34
1991 11 0.333
1991 12 0.314
1992 1 0.286
1992 2 0.258
1992 3 0.221
1992 4 0.197
1992 5 0.174
1992 6 0.164
1992 7 0.156
1992 8 0.153
1992 9 0.146
1992 10 0.146
1992 11 0.143
1992 12 0.142
1993 1 0.151
1993 2 0.157
1993 3 0.172
1993 4 0.19
1993 5 0.198
1993 6 0.195
1993 7 0.185
1993 8 0.158
1993 9 0.155
1993 10 0.161
1993 11 0.164
1993 12 0.178
1994 1 0.179
1994 2 0.182
1994 3 0.194
1994 4 0.209
1994 5 0.233
1994 6 0.246
1994 7 0.264
1994 8 0.319
1994 9 0.328
1994 10 0.337
1994 11 0.337
1994 12 0.339
1995 1 0.357
1995 2 0.384
1995 3 0.389
1995 4 0.392
1995 5 0.396
1995 6 0.391
1995 7 0.376
1995 8 0.362
1995 9 0.359
1995 10 0.351
1995 11 0.348
1995 12 0.329
1996 1 0.316
1996 2 0.315
1996 3 0.307
1996 4 0.284
1996 5 0.281
1996 6 0.293
1996 7 0.296
1996 8 0.283
1996 9 0.294
1996 10 0.298
1996 11 0.309
1996 12 0.339
1997 1 0.342
1997 2 0.336
1997 3 0.359
1997 4 0.399
1997 5 0.421
1997 6 0.436
1997 7 0.459
1997 8 0.497
1997 9 0.507
1997 10 0.532
1997 11 0.56
1997 12 0.575
1998 1 0.604
1998 2 0.629
1998 3 0.623
1998 4 0.606
1998 5 0.589
1998 6 0.588
1998 7 0.576
1998 8 0.562
1998 9 0.537
1998 10 0.506
1998 11 0.47
1998 12 0.44
1999 1 0.413
1999 2 0.381
1999 3 0.379
1999 4 0.373
1999 5 0.366
1999 6 0.353
1999 7 0.342
1999 8 0.335
1999 9 0.352
1999 10 0.37
1999 11 0.378
1999 12 0.38
2000 1 0.38
2000 2 0.391
2000 3 0.39
2000 4 0.382
2000 5 0.378
2000 6 0.366
2000 7 0.381
2000 8 0.373
2000 9 0.376
2000 10 0.376
2000 11 0.39
2000 12 0.401
2001 1 0.417
2001 2 0.417
2001 3 0.426
2001 4 0.447
2001 5 0.479
2001 6 0.508
2001 7 0.531
2001 8 0.55
2001 9 0.578
2001 10 0.583
2001 11 0.591
2001 12 0.592
2002 1 0.591
2002 2 0.597
2002 3 0.605
2002 4 0.611
2002 5 0.598
2002 6 0.586
2002 7 0.587
2002 8 0.576
2002 9 0.548
2002 10 0.543
2002 11 0.541
2002 12 0.535
2003 1 0.532
2003 2 0.541
2003 3 0.543
2003 4 0.553
2003 5 0.551
2003 6 0.571
2003 7 0.558
2003 8 0.568
2003 9 0.571
2003 10 0.574
2003 11 0.553
2003 12 0.547
2004 1 0.522
2004 2 0.506
2004 3 0.492
2004 4 0.481
2004 5 0.493
2004 6 0.474
2004 7 0.485
2004 8 0.482
2004 9 0.495
2004 10 0.505
2004 11 0.53
2004 12 0.552
2005 1 0.581
2005 2 0.596
2005 3 0.614
2005 4 0.632
2005 5 0.635
2005 6 0.655
2005 7 0.645
2005 8 0.657
2005 9 0.65
2005 10 0.636
2005 11 0.624
2005 12 0.621
2006 1 0.609
2006 2 0.619
2006 3 0.61
2006 4 0.603
2006 5 0.602
2006 6 0.607
2006 7 0.636
2006 8 0.632
2006 9 0.632
2006 10 0.653
2006 11 0.666
2006 12 0.662
2007 1 0.674
2007 2 0.662
2007 3 0.659
2007 4 0.652
2007 5 0.642
2007 6 0.616
2007 7 0.558
2007 8 0.524
2007 9 0.521
2007 10 0.499
2007 11 0.487
2007 12 0.477
2008 1 0.473
2008 2 0.461
2008 3 0.467
2008 4 0.472
2008 5 0.478
2008 6 0.482
2008 7 0.516
2008 8 0.535
2008 9 0.521
2008 10 0.526
2008 11 0.533
2008 12 0.549
2009 1 0.566
2009 2 0.585
2009 3 0.59
2009 4 0.589
2009 5 0.599
2009 6 0.616
2009 7 0.624
2009 8 0.651
2009 9 0.684
2009 10 0.711
2009 11 0.724
2009 12 0.724
2010 1 0.711
2010 2 0.708
2010 3 0.702
2010 4 0.705
2010 5 0.705
2010 6 0.688
2010 7 0.669
2010 8 0.642
2010 9 0.622
2010 10 0.598
2010 11 0.579
2010 12 0.575
2011 1 0.588
2011 2 0.597
2011 3 0.592
2011 4 0.585
2011 5 0.567
2011 6 0.572
2011 7 0.563
2011 8 0.559
2011 9 0.544
2011 10 0.549
2011 11 0.567
2011 12 0.569
2012 1 0.55
2012 2 0.541
2012 3 0.554
2012 4 0.569
2012 5 0.588
2012 6 0.585
2012 7 0.605
2012 8 0.61
2012 9 0.624
2012 10 0.614
2012 11 0.603
2012 12 0.603
2013 1 0.608
2013 2 0.609
2013 3 0.611
2013 4 0.597
2013 5 0.599
2013 6 0.611
2013 7 0.615
2013 8 0.609
2013 9 0.617
2013 10 0.634
2013 11 0.652
2013 12 0.653
2014 1 0.652
2014 2 0.666
2014 3 0.675
2014 4 0.688
2014 5 0.671
2014 6 0.675
2014 7 0.68
2014 8 0.708
2014 9 0.718
2014 10 0.717
2014 11 0.713
2014 12 0.723
2015 1 0.735
2015 2 0.732
2015 3 0.731
2015 4 0.751
2015 5 0.784
2015 6 0.813
2015 7 0.845
2015 8 0.881
2015 9 0.915
2015 10 0.942
2015 11 0.958
2015 12 0.958
2016 1 0.967
2016 2 0.982
2016 3 0.984
2016 4 0.973
2016 5 0.968
2016 6 0.951
2016 7 0.938
2016 8 0.923
2016 9 0.915
2016 10 0.904
2016 11 0.899
2016 12 0.891
2017 1 0.885
2017 2 0.871
2017 3 0.854
2017 4 0.846
2017 5 0.835
2017 6 0.836
2017 7 0.817
2017 8 0.796
2017 9 0.771
2017 10 0.767
2017 11 0.755
2017 12 0.761
2018 1 0.763
2018 2 0.758
2018 3 0.765
2018 4 0.775
2018 5 0.772
2018 6 0.769
2018 7 0.775
2018 8 0.78
2018 9 0.805
2018 10 0.814
2018 11 0.82
2018 12 0.829
